INFO 2024-05-30 18:06:08,828 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-30 18:06:08,829 autoreload Waiting for apps ready_event.
DEBUG 2024-05-30 18:06:08,833 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-30 18:06:08,853 autoreload Watching dir C:\Users\NITESRAI\Downloads\DJANGO\myproject\locale with glob **/*.mo.
DEBUG 2024-05-30 18:06:08,915 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-30 18:06:08,917 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-30 18:06:09,021 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1717071989.359174
DEBUG 2024-05-30 18:06:09,022 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1717071990.4871695
DEBUG 2024-05-30 18:06:09,022 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\io.py first seen with mtime 1710837516.3707736
DEBUG 2024-05-30 18:06:09,022 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1717071990.6608596
DEBUG 2024-05-30 18:06:09,022 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_subprocess.py first seen with mtime 1710837515.4598267
DEBUG 2024-05-30 18:06:09,023 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\asyncio\coroutines.py first seen with mtime 1710837515.4613335
DEBUG 2024-05-30 18:06:09,023 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\platform.py first seen with mtime 1710837516.601284
DEBUG 2024-05-30 18:06:09,023 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\asyncio\log.py first seen with mtime 1710837515.4633555
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\backports\zoneinfo\_common.py first seen with mtime 1717071981.2480273
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1717071985.177142
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1717071988.3156893
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1717071991.8021822
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1717071990.6541166
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1717071991.1103082
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1717071991.5778396
DEBUG 2024-05-30 18:06:09,024 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\inspect.py first seen with mtime 1710837516.369266
DEBUG 2024-05-30 18:06:09,025 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\html\__init__.py first seen with mtime 1710837516.013723
DEBUG 2024-05-30 18:06:09,025 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1717071991.060138
DEBUG 2024-05-30 18:06:09,025 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1717071991.7406926
DEBUG 2024-05-30 18:06:09,025 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\Lib\abc.py first seen with mtime 1710837515.456116
DEBUG 2024-05-30 18:06:09,025 autoreload File C:\Users\NITESRAI\Downloads\Django\myenv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1717071991.5954008
